id,dep_delayed_15min
0,0.02242081093264905
1,0.07827119185305412
2,0.03850059111257674
3,0.6625548570079155
4,0.33657380848713203
5,0.08353307644654202
6,0.10073254704280418
7,0.6590071937204883
8,0.1659992870639486
9,0.2203921397007649
10,0.35931668644790393
11,0.3571759348841227
12,0.1470459320379466
13,0.11366251584122186
14,0.10476295266106612
15,0.40427867311453697
16,0.11534952038734993
17,0.3270201591803894
18,0.4608318663689439
19,0.018732503555292993
20,0.20022428031113063
21,0.10991655231946784
22,0.4481751196425803
23,0.18554020445740374
24,0.3979252217837975
25,0.32866983980124176
26,0.019148950144784686
27,0.034626519857410706
28,0.26380606924663963
29,0.1815063531649353
30,0.15527608375233745
31,0.7134862935749475
32,0.01915374515951842
33,0.2116556019435791
34,0.41583051975254753
35,0.5649547344033384
36,0.16933954854694888
37,0.3620684687976858
38,0.1462541019254693
39,0.3663037532478691
40,0.1333615336747945
41,0.057510286414993485
42,0.15681414574661234
43,0.38049006130425367
44,0.12874518622493586
45,0.522323404340358
46,0.006581220095717396
47,0.1256611558664923
48,0.7694462756440493
49,0.10928791900262037
50,0.6168538993129138
51,0.03951987457853141
52,0.27502045545808385
53,0.654095693948768
54,0.14005599327032217
55,0.18536155422134667
56,0.21722816634555372
57,0.4878417827789443
58,0.13467440071628264
59,0.28675219834565885
60,0.17265097040626196
61,0.19653828640679216
62,0.09836919185878304
63,0.13133003538853935
64,0.28849513787381587
65,0.13089770572868037
66,0.018704740232102862
67,0.0693600456137839
68,0.27287334442832073
69,0.41415489084427026
70,0.08161123287285947
71,0.4410803681742082
72,0.35635143213240966
73,0.18090778731455648
74,0.8622887460701133
75,0.3519559056129587
76,0.12421595834237195
77,0.09348498826341908
78,0.167157535539405
79,0.1581918648750597
80,0.16275380613047524
81,0.58076512967146
82,0.10436635043681636
83,0.14021493241503383
84,0.10882456893904306
85,0.045090650843930914
86,0.29381470212389665
87,0.3605780107682328
88,0.3354406330853461
89,0.24920549790150304
90,0.10931251297286372
91,0.14599752704855018
92,0.2944228944797243
93,0.22165424219736055
94,0.3453730681119569
95,0.06887098812757254
96,0.31124865781010747
97,0.09710681826991219
98,0.24525974052886204
99,0.7369659595498191
100,0.2873210164207738
101,0.2376719719338232
102,0.09000905581910888
103,0.3206571397820449
104,0.011473936853684584
105,0.3309873864250425
106,0.4354608665675983
107,0.03488084412333881
108,0.10747720389085944
109,0.11370888515371516
110,0.17828942357606162
111,0.1702830468345494
112,0.9194233758699313
113,0.03194705414556492
114,0.024600382650403207
115,0.2726492096661243
116,0.10793986919710938
117,0.9243569075581972
118,0.17577366519963203
119,0.31908179269224635
120,0.5465920725689459
121,0.20327800642501961
122,0.14501440578825373
123,0.09421064575639435
124,0.2517163920077813
125,0.09446643910586862
126,0.13004454412626196
127,0.1023801847255901
128,0.16364263836234513
129,0.638972829264322
130,0.13305935564553362
131,0.11622673854396456
132,0.15093692963888203
133,0.2689344257194334
134,0.047365657934134824
135,0.07321108741905112
136,0.7202107258331749
137,0.1011531590531016
138,0.009928355511978751
139,0.12506876226237784
140,0.6584687436603547
141,0.4509868302228816
142,0.67392578180768
143,0.1550530694157254
144,0.15053469536258948
145,0.12242925295613066
146,0.32019458542706114
147,0.17488656818045867
148,0.06525049158576827
149,0.5068862967174206
150,0.7279152874362481
151,0.09255130621131263
152,0.10947855249572308
153,0.08887189837902269
154,0.18392353348797527
155,0.06867722289124283
156,0.5832165027128874
157,0.2135825972083066
158,0.41817189388501014
159,0.025543673299053438
160,0.14907358467848478
161,0.8838459137307855
162,0.7481476845943014
163,0.10565396947677329
164,0.42900841401476114
165,0.06038270180210749
166,0.1318763792207866
167,0.04776328440316017
168,0.11490532611140657
169,0.43426130121889484
170,0.4937153274236159
171,0.13019836460229303
